Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,340.010009765625,343.3900146484375,335.0,337.989990234375,307.2405090332031,56300
2015-01-12,335.0,341.0,335.0,335.0899963378906,304.6044006347656,13800
2015-01-19,338.5,343.0,335.0,336.010009765625,305.44073486328125,13400
2015-01-26,335.260009765625,340.0,335.0,335.0,304.5226135253906,16800
2015-02-02,335.0,340.0,333.0899963378906,339.9599914550781,309.03131103515625,17200
2015-02-09,341.0,341.0,330.04998779296875,332.7699890136719,302.4953918457031,24900
2015-02-16,336.0299987792969,336.0299987792969,315.010009765625,317.010009765625,288.16937255859375,7400
2015-02-23,317.0,328.3999938964844,317.0,325.0,295.4322814941406,5300
2015-03-02,325.79998779296875,334.0,320.0,322.7799987792969,293.4142150878906,50400
2015-03-09,323.20001220703125,333.5,323.1000061035156,330.1400146484375,300.1047058105469,27800
2015-03-16,330.1600036621094,338.25,326.29998779296875,337.9200134277344,307.8718566894531,47400
2015-03-23,336.0,345.75,328.0,340.5400085449219,310.2589416503906,44700
2015-03-30,355.6199951171875,355.6199951171875,328.8800048828125,337.989990234375,307.935546875,26100
2015-04-06,347.80999755859375,349.95001220703125,333.3900146484375,334.0,304.3004455566406,17800
2015-04-13,333.2200012207031,348.07000732421875,319.0299987792969,332.29998779296875,302.75164794921875,106800
2015-04-20,325.5,344.6400146484375,316.25,327.8900146484375,298.7337646484375,105700
2015-04-27,340.0,340.0,321.6000061035156,326.79998779296875,297.74066162109375,38000
2015-05-04,320.0,332.0,320.0,331.0,301.567138671875,36000
2015-05-11,332.5,348.0899963378906,332.5,345.30999755859375,314.6047668457031,44800
2015-05-18,344.0199890136719,388.0,342.489990234375,380.0,346.21002197265625,92600
2015-05-25,382.510009765625,384.6000061035156,370.0199890136719,374.8800048828125,341.5452880859375,19800
2015-06-01,378.010009765625,395.0,368.0400085449219,394.010009765625,358.97430419921875,68700
2015-06-08,394.0,394.0,375.7200012207031,385.3900146484375,351.12078857421875,68300
2015-06-15,356.0,396.0,356.0,393.6499938964844,359.34326171875,24800
2015-06-22,391.0,395.5,374.5,389.4599914550781,355.5183410644531,36900
2015-06-29,382.0,395.0,378.5,388.4200134277344,354.5689697265625,17500
