Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,880.0,1330.0,846.0,1236.0,1236.0,524
2018-02-19,1250.0,1400.0,1128.0,1182.0,1182.0,1581
2018-02-26,1200.0,1380.0,1150.0,1280.0,1280.0,2369
2018-03-05,1294.0,1326.0,1250.0,1316.0,1316.0,4468
2018-03-12,1296.0,1352.0,1286.0,1310.0,1310.0,5735
2018-03-19,1300.0,1328.0,1228.0,1288.0,1288.0,2018
2018-03-26,1304.0,1304.0,1260.0,1260.0,1260.0,1350
2018-04-02,1288.0,1358.0,1250.0,1354.0,1354.0,2163
2018-04-09,1356.0,1624.0,1336.0,1600.0,1600.0,3870
2018-04-16,1620.0,1648.0,1506.0,1544.0,1544.0,2908
2018-04-23,1550.0,1600.0,1488.0,1538.0,1538.0,2419
2018-04-30,1564.0,1636.0,1510.0,1568.0,1568.0,2108
2018-05-07,1580.0,1766.0,1466.0,1658.0,1658.0,3271
2018-05-14,1666.0,1820.0,1650.0,1820.0,1820.0,4306
2018-05-21,1846.0,2064.0,1810.0,2014.0,2014.0,6698
2018-05-28,1998.0,2040.0,1890.0,1904.0,1904.0,6815
2018-06-04,1936.0,1964.0,1502.0,1504.0,1504.0,6726
2018-06-11,1500.0,1688.0,1486.0,1488.0,1488.0,4233
2018-06-18,1480.0,1570.0,1284.0,1446.0,1446.0,4757
2018-06-25,1520.0,1740.0,1520.0,1700.0,1700.0,3954
2018-07-02,1688.0,1726.0,1356.0,1386.0,1386.0,1395
2018-07-09,1370.0,1424.0,900.0,960.0,960.0,3092
2018-07-16,986.0,1096.0,774.0,802.0,802.0,11399
2018-07-23,810.0,938.0,742.0,846.0,846.0,8900
2018-07-30,868.0,928.0,692.0,700.0,700.0,3448
2018-08-06,706.0,756.0,536.0,570.0,570.0,8822
2018-08-13,570.0,782.0,550.0,744.0,744.0,9725
2018-08-20,738.0,860.0,738.0,834.0,834.0,7846
2018-08-27,822.0,876.0,780.0,850.0,850.0,7649
2018-09-03,846.0,932.0,806.0,904.0,904.0,5768
2018-09-10,918.0,930.0,890.0,890.0,890.0,6519
2018-09-17,896.0,996.0,850.0,978.0,978.0,10891
2018-09-24,982.0,1092.0,962.0,1058.0,1058.0,12895
2018-10-01,1058.0,1126.0,1020.0,1054.0,1054.0,13502
2018-10-08,1060.0,1130.0,990.0,1044.0,1044.0,10710
2018-10-15,1044.0,1154.0,1026.0,1030.0,1030.0,8334
2018-10-22,1028.0,1148.0,996.0,1108.0,1108.0,7533
2018-10-29,1104.0,1172.0,872.0,1094.0,1094.0,8348
2018-11-05,1094.0,1174.0,1026.0,1096.0,1096.0,4845
2018-11-12,1096.0,1120.0,996.0,1008.0,1008.0,4304
2018-11-19,992.0,1018.0,904.0,976.0,976.0,3019
2018-11-26,980.0,988.0,882.0,882.0,882.0,3817
2018-12-03,886.0,922.0,822.0,916.0,916.0,4448
2018-12-10,898.0,918.0,810.0,814.0,814.0,4446
2018-12-17,802.0,888.0,760.0,808.0,808.0,9808
2018-12-24,812.0,870.0,760.0,790.0,790.0,3025
2018-12-31,798.0,936.0,748.0,926.0,926.0,5321
2019-01-07,928.0,1002.0,832.0,840.0,840.0,8439
2019-01-14,834.0,918.0,760.0,898.0,898.0,12173
2019-01-21,900.0,912.0,804.0,838.0,838.0,3748
2019-01-28,834.0,974.0,726.0,802.0,802.0,11169
2019-02-04,808.0,842.0,728.0,750.0,750.0,2467
2019-02-11,748.0,750.0,536.0,604.0,604.0,2648
2019-02-18,610.0,680.0,582.0,618.0,618.0,1940
2019-02-25,624.0,664.0,608.0,650.0,650.0,1721
2019-03-04,660.0,800.0,630.0,642.0,642.0,4665
2019-03-11,644.0,768.0,604.0,750.0,750.0,7375
2019-03-18,752.0,900.0,748.0,894.0,894.0,8605
2019-03-25,880.0,944.0,852.0,874.0,874.0,4171
2019-04-01,886.0,1006.0,666.0,690.0,690.0,9136
2019-04-08,712.0,754.0,390.0,428.0,428.0,14569
2019-04-15,440.0,466.0,396.0,446.0,446.0,5481
2019-04-22,456.0,476.0,428.0,442.0,442.0,5643
2019-04-29,442.0,470.0,430.0,458.0,458.0,3054
2019-05-06,442.0,460.0,406.0,438.0,438.0,3644
2019-05-13,434.0,464.0,432.0,440.0,440.0,3396
2019-05-20,438.0,448.0,426.0,430.0,430.0,2580
2019-05-27,430.0,440.0,394.0,430.0,430.0,2144
2019-06-03,428.0,436.0,368.0,374.0,374.0,771
2019-06-10,380.0,400.0,362.0,370.0,370.0,726
2019-06-17,378.0,428.0,332.0,368.0,368.0,1131
2019-06-24,368.0,400.0,350.0,364.0,364.0,59
2019-07-01,370.0,386.0,342.0,350.0,350.0,49
2019-07-08,350.0,366.0,340.0,340.0,340.0,76
2019-07-15,336.0,366.0,272.0,290.0,290.0,168
2019-07-22,300.0,308.0,278.0,280.0,280.0,68
2019-07-29,282.0,282.0,264.0,282.0,282.0,36
2019-08-05,270.0,308.0,224.0,260.0,260.0,216
2019-08-12,270.0,270.0,230.0,244.0,244.0,94
2019-08-19,244.0,310.0,232.0,248.0,248.0,269
2019-08-26,250.0,290.0,226.0,256.0,256.0,461
2019-09-02,264.0,314.0,250.0,274.0,274.0,605
2019-09-09,272.0,324.0,260.0,274.0,274.0,736
2019-09-16,266.0,316.0,266.0,278.0,278.0,520
2019-09-23,288.0,318.0,270.0,314.0,314.0,399
2019-09-30,306.0,394.0,296.0,360.0,360.0,1001
2019-10-07,358.0,388.0,302.0,322.0,322.0,822
2019-10-14,328.0,378.0,294.0,372.0,372.0,274
2019-10-21,366.0,392.0,290.0,318.0,318.0,810
2019-10-28,324.0,382.0,316.0,342.0,342.0,1529
2019-11-04,342.0,342.0,260.0,266.0,266.0,1724
2019-11-11,270.0,278.0,222.0,256.0,256.0,401
2019-11-18,260.0,260.0,208.0,242.0,242.0,2856
2019-11-25,216.0,248.0,204.0,246.0,246.0,3639
2019-12-02,244.0,248.0,210.0,222.0,222.0,930
2019-12-09,214.0,230.0,182.0,184.0,184.0,2644
2019-12-16,192.0,198.0,146.0,166.0,166.0,1798
2019-12-23,176.0,176.0,146.0,156.0,156.0,539
2019-12-30,162.0,170.0,148.0,162.0,162.0,513
2020-01-06,162.0,206.0,146.0,188.0,188.0,3306
2020-01-13,188.0,190.0,146.0,156.0,156.0,5678
2020-01-20,154.0,160.0,140.0,150.0,150.0,2208
2020-01-27,156.0,178.0,120.0,150.0,150.0,4498
2020-02-03,150.0,250.0,136.0,156.0,156.0,78248
2020-02-10,150.0,156.0,130.0,142.0,142.0,15892
2020-02-17,140.0,152.0,136.0,146.0,146.0,7931
2020-02-24,146.0,160.0,132.0,150.0,150.0,11901
2020-03-02,146.0,160.0,136.0,144.0,144.0,7323
2020-03-09,144.0,146.0,100.0,120.0,120.0,4539
2020-03-16,114.0,120.0,62.0,86.0,86.0,1601
2020-03-23,82.0,118.0,76.0,106.0,106.0,1492
2020-03-30,108.0,124.0,96.0,102.0,102.0,1390
2020-04-06,110.0,116.0,100.0,114.0,114.0,654
2020-04-13,116.0,120.0,94.0,112.0,112.0,1629
2020-04-20,110.0,110.0,94.0,102.0,102.0,1401
2020-04-27,130.0,130.0,94.0,98.0,98.0,11895
2020-05-04,98.0,114.0,92.0,104.0,104.0,4025
2020-05-11,104.0,118.0,96.0,100.0,100.0,2258
2020-05-18,100.0,122.0,94.0,98.0,98.0,23123
2020-05-25,98.0,102.0,92.0,96.0,96.0,4313
2020-06-01,96.0,108.0,94.0,102.0,102.0,4829
2020-06-08,106.0,224.0,104.0,122.0,122.0,102799
2020-06-15,114.0,310.0,104.0,166.0,166.0,548271
2020-06-22,150.0,156.0,130.0,136.0,136.0,32849
2020-06-29,136.0,150.0,124.0,136.0,136.0,18888
2020-07-06,138.0,154.0,136.0,144.0,144.0,15795
2020-07-13,142.0,174.0,132.0,144.0,144.0,23244
2020-07-20,144.0,164.0,134.0,140.0,140.0,9558
2020-07-27,142.0,152.0,136.0,138.0,138.0,7031
2020-08-03,136.0,148.0,134.0,146.0,146.0,10358
2020-08-10,146.0,334.0,144.0,214.0,214.0,1297076
2020-08-17,210.0,238.0,140.0,142.0,142.0,137625
2020-08-24,150.0,150.0,138.0,140.0,140.0,21086
2020-08-31,136.0,150.0,136.0,146.0,146.0,17485
2020-09-07,144.0,196.0,140.0,158.0,158.0,25891
2020-09-14,154.0,188.0,154.0,182.0,182.0,12924
2020-09-21,180.0,198.0,174.0,184.0,184.0,8151
2020-09-28,184.0,200.0,170.0,176.0,176.0,8929
2020-10-05,176.0,180.0,150.0,172.0,172.0,6407
2020-10-12,174.0,228.0,166.0,206.0,206.0,45957
2020-10-19,200.0,244.0,176.0,180.0,180.0,100243
2020-10-26,180.0,182.0,152.0,154.0,154.0,9862
2020-11-02,154.0,184.0,154.0,176.0,176.0,7732
2020-11-09,180.0,180.0,160.0,164.0,164.0,4741
2020-11-16,166.0,180.0,162.0,172.0,172.0,10799
