Time,Function,Symbol,Error
2024-01-18 18:01:59,create_stock_data_db,ARNC,'NoneType' object is not subscriptable
2024-01-18 18:02:14,create_stock_data_db,AAC,'NoneType' object is not subscriptable
2024-01-18 18:02:40,create_stock_data_db,ARIZ,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:02:46,create_stock_data_db,ARKOW,'NoneType' object is not subscriptable
2024-01-18 18:02:52,create_stock_data_db,AACI,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:03:00,create_stock_data_db,AOGO,'Growth'
2024-01-18 18:03:24,create_stock_data_db,ARTE,'NoneType' object is not subscriptable
2024-01-18 18:03:24,create_stock_data_db,ARTEU,'NoneType' object is not subscriptable
2024-01-18 18:03:40,create_stock_data_db,ASA,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:04:03,create_stock_data_db,ASPI,'Growth'
2024-01-18 18:04:17,create_stock_data_db,ASST,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:05:08,create_stock_data_db,ACAQ,'NoneType' object is not subscriptable
2024-01-18 18:05:08,create_stock_data_db,ATEK,'Growth'
2024-01-18 18:05:45,create_stock_data_db,ACABU,'NoneType' object is not subscriptable
2024-01-18 18:05:50,create_stock_data_db,ATLCP,'NoneType' object is not subscriptable
2024-01-18 18:05:52,create_stock_data_db,ATCOL,'NoneType' object is not subscriptable
2024-01-18 18:05:58,create_stock_data_db,ATLX,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:06:40,create_stock_data_db,ADRT,'Growth'
2024-01-18 18:06:42,create_stock_data_db,AFAR,'Growth'
2024-01-18 18:06:43,create_stock_data_db,AFARU,'NoneType' object is not subscriptable
2024-01-18 18:06:45,create_stock_data_db,AURC,'NoneType' object is not subscriptable
2024-01-18 18:06:46,create_stock_data_db,AURCU,'NoneType' object is not subscriptable
2024-01-18 18:06:48,create_stock_data_db,ATAK,'Growth'
2024-01-18 18:06:49,create_stock_data_db,ATAKR,'NoneType' object is not subscriptable
2024-01-18 18:06:49,create_stock_data_db,ATAKU,'NoneType' object is not subscriptable
2024-01-18 18:07:47,create_stock_data_db,AVID,'NoneType' object is not subscriptable
2024-01-18 18:08:39,create_stock_data_db,AZYO,'NoneType' object is not subscriptable
2024-01-18 18:08:47,create_stock_data_db,RILYL,'NoneType' object is not subscriptable
2024-01-18 18:08:47,create_stock_data_db,RILYP,'NoneType' object is not subscriptable
2024-01-18 18:09:57,create_stock_data_db,OZKAP,'NoneType' object is not subscriptable
2024-01-18 18:10:10,create_stock_data_db,BNIXR,'NoneType' object is not subscriptable
2024-01-18 18:10:10,create_stock_data_db,BYN,'Growth'
2024-01-18 18:10:44,create_stock_data_db,BFAC,'Growth'
2024-01-18 18:11:08,create_stock_data_db,BRD,'Growth'
2024-01-18 18:11:21,create_stock_data_db,BLTE,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:11:26,create_stock_data_db,BLACU,'NoneType' object is not subscriptable
2024-01-18 18:11:33,create_stock_data_db,BENFW,'NoneType' object is not subscriptable
2024-01-18 18:11:38,create_stock_data_db,BACA,'Growth'
2024-01-18 18:12:17,create_stock_data_db,BIOC,'NoneType' object is not subscriptable
2024-01-18 18:12:56,create_stock_data_db,BVXV,'NoneType' object is not subscriptable
2024-01-18 18:12:58,create_stock_data_db,BIOS,'NoneType' object is not subscriptable
2024-01-18 18:13:18,create_stock_data_db,BTB,'NoneType' object is not subscriptable
2024-01-18 18:13:30,create_stock_data_db,BNMV,'NoneType' object is not subscriptable
2024-01-18 18:13:38,create_stock_data_db,BKI,'NoneType' object is not subscriptable
2024-01-18 18:13:39,create_stock_data_db,BMAC,'Growth'
2024-01-18 18:13:40,create_stock_data_db,BSM,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:13:47,create_stock_data_db,BFZ,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:13:48,create_stock_data_db,CII,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:13:59,create_stock_data_db,BGR,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
