Stock_id,Symbol,Industry,Sector,Growth percentile,Total Growth percentile,Last Growth percentile,Total last Growth percentile,NWC percentile,DER percentile,Score,Outperformer,Underperformer
4,TXG,Biotechnology: Laboratory Analytical Instruments,Industrials,0.45,0.1915983606557377,0.2,0.07889344262295082,0.6,0.575,-1.2,False,False
5,TURN,Finance/Investors Services,Finance,0.8452380952380952,0.9226361031518625,0.1728395061728395,0.0845341018251681,0.5974025974025974,0.1746987951807229,-3.4,True,False
6,ATNF,Biotechnology: Pharmaceutical Preparations,Health Care,0.39090909090909093,0.3742802303262956,0.20909090909090908,0.21209213051823417,0.08439201451905626,0.036297640653357534,-5.0,False,False
7,FLWS,Other Specialty Stores,Consumer Discretionary,0.19642857142857142,0.18031088082901556,0.17857142857142858,0.0912863070539419,0.4642857142857143,0.375,-0.3,False,True
8,EFSH,Professional Services,Consumer Discretionary,0.14285714285714285,0.31191709844559584,0.11428571428571428,0.24273858921161826,0.22857142857142856,1.0,-88.2,False,False
9,BCOW,Banks,Finance,0.05263157894736842,0.08548233046800383,0.05263157894736842,0.08837656099903939,0.10526315789473684,0.7368421052631579,-0.0,False,True
10,SRCE,Major Banks,Finance,0.5203703703703704,0.5138490926456543,0.5907407407407408,0.6834774255523535,0.1171003717472119,0.2992565055762082,3.5,False,False
11,DIBS,Catalog/Specialty Distribution,Consumer Discretionary,0.7391304347826086,0.40932642487046633,0.8695652173913043,0.7199170124481328,0.6818181818181818,0.34782608695652173,-1.3,False,False
13,ME,Precision Instruments,Health Care,0.8,0.5129558541266794,0.4,0.39923224568138194,0.4,0.8,5.7,False,False
16,TSVT,Biotechnology: Pharmaceutical Preparations,Health Care,0.28909090909090907,0.277831094049904,0.7754545454545455,0.7975047984644914,0.7313974591651543,0.8629764065335753,3.2,False,False
17,TWOU,Computer Software: Prepackaged Software,Technology,0.5186170212765957,0.43308823529411766,0.26595744680851063,0.2838235294117647,0.11956521739130435,0.9361702127659575,-0.5,False,False
18,SCWO,Environmental Services,Utilities,0.09090909090909091,0.008064516129032258,0.36363636363636365,0.1935483870967742,0.5454545454545454,0.09090909090909091,-0.5,False,True
19,DDD,Computer peripheral equipment,Technology,0.875,0.8441176470588235,0.3125,0.1676470588235294,0.8666666666666667,0.75,0.0,False,False
