Time,Function,Symbol,Error
2024-01-24 14:59:31,create_stock_data_db,SFR,'NoneType' object is not subscriptable
2024-01-24 14:59:35,create_stock_data_db - Update data_stock,APRE,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-24 14:59:52,create_stock_data_db,AQU,'Growth'
2024-01-24 14:59:52,create_stock_data_db,AQUNU,'NoneType' object is not subscriptable
2024-01-24 15:00:03,create_stock_data_db,ARBEW,'NoneType' object is not subscriptable
2024-01-24 15:00:20,create_stock_data_db,ACGLO,'NoneType' object is not subscriptable
2024-01-24 15:00:21,create_stock_data_db,ACGLN,'NoneType' object is not subscriptable
2024-01-24 15:00:30,create_stock_data_db,ARNC,'NoneType' object is not subscriptable
2024-01-24 15:00:47,create_stock_data_db,AAC,'NoneType' object is not subscriptable
2024-01-24 15:01:01,create_stock_data_db,ARGO,'NoneType' object is not subscriptable
2024-01-24 15:01:15,create_stock_data_db,ARKOW,'NoneType' object is not subscriptable
2024-01-24 15:01:28,create_stock_data_db,AOGO,'Growth'
2024-01-24 15:01:48,create_stock_data_db,ARTE,'NoneType' object is not subscriptable
2024-01-24 15:01:49,create_stock_data_db,ARTEU,'NoneType' object is not subscriptable
2024-01-24 15:02:34,create_stock_data_db,ASPI,'Growth'
2024-01-24 15:02:47,create_stock_data_db - Update data_stock,ASST,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-24 15:03:31,create_stock_data_db,ACAQ,'NoneType' object is not subscriptable
2024-01-24 15:03:31,create_stock_data_db,ATEK,'Growth'
2024-01-24 15:03:45,create_stock_data_db,ACABU,'NoneType' object is not subscriptable
2024-01-24 15:03:51,create_stock_data_db,ATLCP,'NoneType' object is not subscriptable
2024-01-24 15:03:52,create_stock_data_db,ATCOL,'NoneType' object is not subscriptable
2024-01-24 15:03:56,create_stock_data_db - Update data_stock,ATLX,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-24 15:04:29,create_stock_data_db,ADRT,'Growth'
2024-01-24 15:04:31,create_stock_data_db,AFAR,'Growth'
2024-01-24 15:04:32,create_stock_data_db,AFARU,'NoneType' object is not subscriptable
2024-01-24 15:04:34,create_stock_data_db,AURC,'NoneType' object is not subscriptable
2024-01-24 15:04:35,create_stock_data_db,AURCU,'NoneType' object is not subscriptable
2024-01-24 15:04:37,create_stock_data_db,ATAK,'Growth'
2024-01-24 15:04:37,create_stock_data_db,ATAKR,'NoneType' object is not subscriptable
2024-01-24 15:04:38,create_stock_data_db,ATAKU,'NoneType' object is not subscriptable
2024-01-24 15:05:22,create_stock_data_db,AVID,'NoneType' object is not subscriptable
2024-01-24 15:06:18,create_stock_data_db,AZYO,'NoneType' object is not subscriptable
