Time,Function,Symbol,Error
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:32,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,single positional indexer is out-of-bounds
2024-02-03 13:56:36,get_lt_trend,,single positional indexer is out-of-bounds
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:36,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,single positional indexer is out-of-bounds
2024-02-03 13:56:38,get_lt_trend,,single positional indexer is out-of-bounds
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
2024-02-03 13:56:38,get_lt_trend,,local variable 'trend_type' referenced before assignment
